   x (-1000 to 1000):
 5.00%: Select:  9533.435 M/s
10.00%: Select:  9546.416 M/s
15.00%: Select:  9574.692 M/s
20.00%: Select:  9602.112 M/s
25.00%: Select:  9642.790 M/s
30.00%: Select:  9661.878 M/s
35.00%: Select:  9632.989 M/s
40.00%: Select:  9747.748 M/s
45.00%: Select: 10013.819 M/s
50.00%: Select: 13964.307 M/s
55.00%: Select: 10025.994 M/s
60.00%: Select:  9710.258 M/s
65.00%: Select:  9645.378 M/s
70.00%: Select:  9655.478 M/s
75.00%: Select:  9644.704 M/s
80.00%: Select:  9590.650 M/s
85.00%: Select:  9598.667 M/s
90.00%: Select:  9584.381 M/s
95.00%: Select:  9575.515 M/s
       x^7 (-1 to 1):
 5.00%: Select: 10099.724 M/s
10.00%: Select: 10023.317 M/s
15.00%: Select:  9916.401 M/s
20.00%: Select: 10151.123 M/s
25.00%: Select: 11340.875 M/s
30.00%: Select: 11365.562 M/s
35.00%: Select: 11342.379 M/s
40.00%: Select: 12375.606 M/s
45.00%: Select: 12945.724 M/s
50.00%: Select: 14186.230 M/s
55.00%: Select: 12940.546 M/s
60.00%: Select: 12364.506 M/s
65.00%: Select: 11357.879 M/s
70.00%: Select: 11374.039 M/s
75.00%: Select: 10109.682 M/s
80.00%: Select: 10166.768 M/s
85.00%: Select:  9995.101 M/s
90.00%: Select: 10081.757 M/s
95.00%: Select: 10068.284 M/s
pow(2, x) (-100 to 100):
 5.00%: Select: 12796.911 M/s
10.00%: Select: 12760.620 M/s
15.00%: Select: 12791.673 M/s
20.00%: Select: 12760.579 M/s
25.00%: Select: 12785.143 M/s
30.00%: Select: 12793.355 M/s
35.00%: Select: 12748.841 M/s
40.00%: Select: 12785.789 M/s
45.00%: Select: 12767.271 M/s
50.00%: Select: 12772.417 M/s
55.00%: Select: 12784.585 M/s
60.00%: Select: 12764.467 M/s
65.00%: Select: 12807.330 M/s
70.00%: Select: 12769.653 M/s
75.00%: Select: 12785.871 M/s
80.00%: Select: 12762.995 M/s
85.00%: Select: 12793.070 M/s
90.00%: Select: 12798.999 M/s
95.00%: Select: 12769.844 M/s
x * cos(x) (-1000 to 1000):
 5.00%: Select: 11141.888 M/s
10.00%: Select: 10980.086 M/s
15.00%: Select:  8597.330 M/s
20.00%: Select:  8610.427 M/s
25.00%: Select:  8574.733 M/s
30.00%: Select:  8646.748 M/s
35.00%: Select:  8732.438 M/s
40.00%: Select:  8667.487 M/s
45.00%: Select:  8856.701 M/s
50.00%: Select: 14646.688 M/s
55.00%: Select:  8892.517 M/s
60.00%: Select:  8638.255 M/s
65.00%: Select:  8675.538 M/s
70.00%: Select:  8661.128 M/s
75.00%: Select:  8608.795 M/s
80.00%: Select:  8608.388 M/s
85.00%: Select:  8578.568 M/s
90.00%: Select: 10972.401 M/s
95.00%: Select: 11099.597 M/s
